tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
1,1,1,1,0,1,0.92,0.07,-0.29,49143.46,-57492.31,12166.56,0
1,1,1,0,0,1,1.00,0.08,0.09,25495.14,-16218.10,10388.94,4
1,1,1,0,0,1,0.97,0.13,-0.04,-39496.58,30093.09,-23753.31,4
1,1,1,1,0,1,1.02,0.20,-0.38,-17411.14,14652.84,-24392.77,0
1,0,1,1,0,1,1.12,-0.36,-0.32,31519.96,-17637.81,-9952.29,5
1,0,1,1,0,1,0.96,-0.37,0.04,30095.48,-19074.23,6561.69,5
1,0,1,1,0,1,0.88,-0.27,0.31,8730.62,-22829.90,-12743.99,5
1,0,1,1,0,1,0.91,-0.62,-0.24,-35950.89,53178.30,-15812.47,5
1,0,1,1,0,1,1.12,-0.46,-0.16,-4249.59,5752.81,8103.09,5
1,0,1,1,0,1,1.03,-0.21,-0.23,20450.99,-22047.27,24502.53,5
1,0,1,1,0,1,0.82,-0.43,0.24,34092.14,-26628.52,-13793.86,5
1,0,1,1,0,1,1.08,-0.03,-0.10,-2510.14,2982.58,28079.25,5
1,1,1,1,0,1,0.76,-0.03,0.60,14628.98,-28983.57,4507.28,5
1,1,1,1,0,1,1.06,-0.04,0.14,-7874.02,23039.87,-15227.89,5
1,0,1,1,0,1,1.12,-0.25,-0.20,-28129.36,22822.74,24039.63,5
1,1,1,1,0,1,1.02,0.52,-0.17,-5757.58,-6609.41,30854.25,0
1,1,1,1,0,1,0.82,-0.33,0.01,3965.65,5621.58,-68690.13,5
1,0,1,1,0,1,0.95,-0.88,-0.26,29498.96,-62770.29,-22087.83,5
1,0,1,1,0,1,0.65,-0.73,0.37,6962.55,-25075.19,32312.13,0
1,0,1,1,0,0,0.79,-0.24,0.44,-43309.52,47747.61,27394.45,5
1,1,1,1,0,1,0.92,-0.04,-0.35,-41920.83,39315.24,-11982.83,5
1,1,1,1,0,1,1.07,-0.26,-0.54,5922.22,20443.83,39642.13,5
1,1,1,0,0,1,0.91,0.29,-0.39,35070.43,-29331.93,20303.05,4
1,1,1,0,0,1,0.85,0.35,0.26,21061.82,-14070.64,-22400.41,4
1,1,1,1,0,1,1.16,-0.22,0.07,-12848.98,14280.62,-16590.33,5
1,1,1,1,0,1,1.08,0.38,-0.32,11026.02,13560.02,43397.80,0
1,1,1,0,0,1,0.91,0.21,0.09,50365.12,-33657.87,12283.48,4
1,1,1,0,0,0,0.84,0.28,0.54,2197.57,1765.69,-372.23,4
1,1,1,0,0,1,0.85,0.42,-0.00,-40703.93,17117.65,14006.22,4
1,1,1,1,0,1,0.93,0.16,-0.15,-27802.46,15623.97,-55838.76,0
1,0,1,1,0,1,1.10,-0.55,-0.23,10820.82,-6640.43,-195.66,5
1,1,1,1,0,1,0.87,0.36,-0.52,3765.22,21567.67,51784.83,0
0,1,1,0,0,1,0.76,0.63,-0.54,12028.17,9799.58,30362.71,1
1,1,1,0,0,1,0.87,0.68,-0.15,52672.45,-22192.82,-30434.30,4
1,1,1,0,0,1,0.85,0.24,0.05,-49747.13,-4325.94,45774.33,4
1,1,1,0,0,1,0.68,0.43,0.10,-3667.39,2701.03,-15523.76,4
1,1,1,0,0,1,0.84,0.72,-0.30,-27728.50,5297.07,-36051.10,4
1,1,1,1,0,1,1.01,0.16,-0.48,-5461.71,-3612.51,-28768.82,0
1,0,1,1,0,1,1.10,-0.20,-0.48,37201.19,-25779.08,-1109.52,5
1,0,1,1,0,1,1.04,-0.28,-0.10,18389.43,-7234.56,12815.57,5
1,1,1,0,0,1,0.89,0.35,-0.08,28122.20,-22670.03,54318.84,4
1,1,1,0,0,0,0.85,0.36,0.42,27375.36,-9370.09,-21300.43,4
1,1,1,0,0,1,0.90,0.18,0.05,-54082.62,40176.61,-19923.67,4
1,1,1,1,0,1,1.09,0.05,-0.42,-48558.87,28408.53,-14096.89,0
1,0,1,1,0,1,0.89,-0.46,-0.44,-9534.73,-18654.28,-49157.77,5
1,0,1,1,0,1,0.84,-0.52,-0.05,36657.16,-25471.28,34760.24,5
1,1,1,1,0,1,1.08,-0.08,-0.28,200.43,2230.97,28308.31,5
1,1,1,1,0,1,1.08,0.82,-0.69,-23054.19,10699.13,21097.61,0

1,1,1,1,0,1,1.00,-0.15,-0.20,50100.27,-46826.59,7730.86,5
1,1,1,0,0,1,0.69,0.26,0.53,7821.53,-18515.89,31274.19,4
1,1,1,0,0,1,0.92,0.49,0.01,-45974.76,39964.25,-21104.77,4
1,1,1,1,0,1,1.06,-0.02,-0.53,-19720.85,18406.13,-33016.02,5
1,0,1,1,0,1,0.84,-0.47,-0.22,7155.82,-24275.86,-32376.56,5
1,0,1,1,0,1,0.95,-0.63,-0.29,2288.24,24192.34,11865.92,5
1,1,1,1,0,1,0.84,-0.18,0.01,-3863.04,14266.30,13653.08,5
0,0,1,1,0,1,0.76,-0.63,-0.55,-14748.29,11240.77,-23548.11,1
0,0,1,1,0,1,0.79,-0.31,-0.60,41534.29,-36420.94,32674.81,5
1,1,1,1,0,1,1.01,0.04,0.06,36499.68,-27850.19,24325.96,0
1,1,1,1,1,1,0.74,0.06,0.38,8802.21,-2567.41,-23676.95,0
1,0,1,1,0,1,1.09,-0.14,-0.45,-23581.51,30274.43,-16096.42,5
1,0,1,1,0,1,0.98,-0.53,-0.22,3264.14,-10990.23,12197.58,5
1,0,1,1,0,1,0.97,-0.32,-0.37,-13591.04,32844.23,24053.95,5
1,1,1,1,0,1,0.91,0.44,-0.26,48754.53,-35793.41,19608.71,0
1,1,1,0,0,1,0.95,0.15,0.35,22343.14,-1947.03,-1951.80,4
1,1,1,1,0,1,1.04,0.02,-0.28,-28799.84,33388.25,-16077.33,0
1,1,1,1,0,1,0.97,-0.20,-0.59,-27714.18,23703.20,-17167.76,5
1,1,1,1,0,1,1.03,-0.25,-0.48,7473.17,12097.37,31541.43,5
0,1,1,1,0,1,1.10,0.00,-0.70,32639.02,-37404.00,3777.15,0
1,1,1,1,0,1,0.85,-0.12,0.42,-5435.46,3884.52,4941.55,5
1,1,1,0,0,1,0.93,0.46,-0.56,-17215.48,49942.79,9405.88,4
0,1,1,1,0,1,0.98,0.15,-0.65,-18052.99,-4450.02,-27270.37,0
1,0,1,1,0,1,0.94,-0.42,-0.40,9441.67,-18169.91,-12543.56,5
1,0,1,1,0,1,1.04,-0.14,-0.35,7217.86,15822.02,24063.50,5
1,1,1,1,0,1,1.00,0.07,-0.39,4702.94,-990.22,2030.54,0
1,1,1,1,0,1,0.94,-0.11,-0.43,1150.08,-4485.81,-9594.38,5
1,1,1,1,0,1,0.98,-0.07,-0.43,827.97,-689.57,73.97,5
1,1,1,1,0,1,1.04,-0.13,-0.37,2531.62,-1923.17,2018.61,5
1,1,1,1,0,1,0.99,-0.08,-0.40,2617.52,-1004.53,-1350.51,5
1,1,1,1,0,1,1.01,-0.12,-0.38,3254.60,-842.28,-770.70,5
1,1,1,1,0,1,1.03,-0.06,-0.40,1004.53,2054.40,711.05,5
1,1,1,1,0,1,0.95,-0.14,-0.37,-5864.96,16797.92,5888.82,5
1,1,1,1,0,1,1.02,0.15,-0.55,40028.68,-16156.07,17847.79,0
0,1,1,0,0,1,0.88,0.47,-0.44,3944.17,-2782.16,4442.86,4
1,1,1,1,0,1,0.87,-0.12,0.20,17618.73,-54750.71,-35010.78,5
1,1,1,1,0,1,0.87,0.19,-0.10,-15261.29,44442.90,24917.71,0
1,1,1,1,0,1,1.11,0.17,-0.42,-27697.48,367.45,-18391.81,0
1,0,1,1,0,1,0.85,-0.46,-0.29,-8334.54,31207.38,-1961.35,5
0,1,1,1,0,1,0.87,-0.07,-0.62,70346.05,-11980.45,46246.77,5
0,1,1,0,0,1,1.04,0.54,-0.76,28472.95,-37475.59,-14020.54,4
1,1,1,0,0,1,0.93,0.41,-0.38,-51873.12,30150.36,-8570.76,4
0,1,1,1,0,1,0.83,0.52,-0.74,20236.24,13049.41,18954.92,1
1,1,1,0,0,1,0.85,0.63,-0.43,27477.96,-18783.13,-15323.33,4
1,1,1,0,0,1,0.91,0.59,-0.18,-39945.16,23567.19,-21999.55,4
0,1,1,1,0,1,1.03,0.10,-0.66,-32307.36,18157.98,-8969.23,0
1,1,1,1,0,1,0.92,-0.16,-0.37,14192.33,-32044.89,-30372.26,5
1,0,1,1,0,1,1.02,-0.46,-0.37,7215.47,-31.02,-2216.66,5
1,1,1,1,0,1,0.96,0.05,-0.13,24750.68,-23927.49,39195.94,0
1,1,1,0,0,1,1.03,0.21,-0.31,-37487.52,27198.79,-1326.65,4
1,1,1,1,0,1,1.02,0.36,-0.71,5604.87,10470.07,20596.54,0
1,1,1,0,0,1,0.78,0.46,0.06,18241.49,-3552.86,2078.27,4
1,1,1,0,0,1,0.89,0.41,-0.50,-42925.36,19518.04,-24404.70,4
0,1,1,1,0,1,0.90,-0.06,-0.71,-28799.84,-2176.09,-32328.84,5
1,0,1,1,0,1,0.98,-0.54,-0.20,20026.27,-39637.36,93.06,5
1,1,1,1,0,1,0.98,-0.05,-0.37,-5752.81,33815.36,5958.01,5
0,1,1,1,0,1,1.03,-0.11,-0.72,3858.27,-23023.17,1085.66,5
1,0,1,1,0,1,0.99,-0.34,-0.07,20830.37,-16430.46,-69.20,5
1,1,1,1,0,1,0.80,-0.03,-0.25,-18449.08,55352.00,28969.25,5
0,1,1,1,0,1,0.91,-0.09,-1.02,37678.40,-5416.37,19203.08,1
0,1,1,0,0,1,0.77,0.74,-0.52,15399.68,-15053.70,-6857.56,1
0,1,1,1,0,1,0.91,0.26,-0.62,-27921.77,10143.17,-20231.47,0
0,1,1,1,0,1,0.94,0.10,-0.30,37184.48,-25449.80,-10076.37,0
1,1,1,1,0,1,0.86,0.30,-0.61,-2603.20,9346.23,12130.77,0
0,1,1,1,0,1,0.95,0.35,-0.58,9792.42,-11264.63,-2937.25,0
1,1,1,1,0,1,0.90,0.12,-0.12,8327.38,-11994.76,4865.19,0
1,1,1,0,0,1,1.02,0.13,-0.62,-6530.67,41140.59,-8174.67,4
0,1,1,1,0,1,0.86,0.18,-0.62,2856.12,-6941.07,1727.51,0
0,1,1,1,0,1,0.89,0.26,-0.49,2476.74,-4753.05,50.11,0
0,1,1,1,0,1,0.88,0.14,-0.52,-7093.78,5213.56,-4459.56,0
0,1,1,1,0,1,0.80,0.11,-0.63,1722.74,9088.53,5898.36,0
0,1,1,1,0,1,0.86,0.29,-0.44,38038.70,-45294.73,-19720.85,0
1,1,1,0,0,1,0.91,0.16,-0.42,-49768.61,30527.35,10105.00,4
0,1,1,1,0,1,0.91,0.02,-0.66,5979.49,2295.40,9868.78,0
0,1,1,0,0,1,0.88,0.35,-0.63,29959.47,-12679.57,18990.71,4
0,1,1,0,0,1,0.67,0.40,-0.61,-32593.69,25082.35,-15371.05,1
0,1,1,1,0,1,0.85,0.11,-0.79,44624.24,-27676.00,-45802.96,0
1,1,1,1,0,1,1.10,0.09,-0.25,27170.16,-29487.03,11758.54,0
1,1,1,0,0,1,0.93,0.21,-0.03,3784.30,-41119.11,-12426.64,4
1,1,1,1,0,1,0.90,-0.22,0.30,-43903.65,4459.56,-18370.34,5
1,0,1,1,0,1,1.14,-0.11,0.02,15688.40,25344.81,-13061.34,5
1,0,1,1,0,1,0.90,-0.48,-0.17,39923.69,-59172.10,-16855.18,5
1,0,1,1,0,1,0.86,-0.55,0.37,-4846.10,-4736.35,45153.95,5
1,1,1,1,0,1,0.92,0.24,0.25,-43233.17,35449.81,8647.11,0
1,1,1,1,0,1,1.11,-0.14,-0.38,-34440.50,29305.69,-20744.47,5
1,0,1,1,0,1,1.07,-0.08,-0.55,9696.98,-1813.41,-8606.55,5
1,1,1,1,0,1,1.01,-0.29,-0.20,861.37,-29594.40,-21944.67,5
1,0,1,1,0,1,0.73,-0.66,-0.30,3008.83,11276.56,8131.72,5
1,0,1,1,0,1,1.11,0.01,-0.22,21035.58,-21923.19,23679.34,0
1,1,1,1,0,1,0.94,-0.01,-0.11,14123.14,102.60,-23717.52,5
1,0,1,1,0,1,0.99,-0.48,-0.08,-11212.13,16218.10,3202.10,5
1,0,1,1,0,1,0.96,-0.38,-0.19,-6167.99,5559.54,-5645.44,5
1,0,1,1,0,1,0.93,-0.44,-0.23,-1173.95,-963.97,-14946.33,5
1,0,1,1,0,1,0.89,-0.88,-0.36,5235.03,-9172.04,-10663.34,0
1,0,1,1,0,1,0.89,-0.36,-0.04,21765.71,-19408.28,17761.89,5
1,0,1,1,0,1,0.92,-0.10,-0.05,-21947.05,37854.97,27401.61,5
1,0,1,1,0,1,1.04,-0.20,-0.61,-16046.31,25320.95,12242.92,5
1,1,1,1,0,1,0.82,0.07,-0.57,31825.38,-26504.44,28088.79,0
1,1,1,0,0,1,0.87,0.58,-0.30,33533.80,-10023.87,5347.18,4
1,1,1,0,0,1,0.98,0.12,0.00,4657.60,875.69,-42662.89,4
1,1,1,1,0,1,0.99,-0.26,-0.38,-28251.04,39630.20,-25287.55,5
0,0,1,1,0,1,1.00,-0.19,-0.65,19716.08,-17351.49,21460.29,5
1,1,1,1,0,1,1.03,0.18,-0.23,31090.47,-37299.02,8396.57,0
1,1,1,1,0,1,0.91,0.01,0.15,22491.08,-9895.02,-27074.71,0
1,0,1,1,0,1,0.97,-0.31,0.00,-29222.17,57351.53,-12765.46,5
1,0,1,1,0,1,0.94,-0.25,-0.66,-16511.59,35681.26,5309.00,5
0,1,1,1,0,1,0.97,-0.11,-0.57,22598.45,-25731.36,42717.78,5
1,1,1,1,0,1,0.94,-0.08,-0.37,8513.49,-14120.75,-58807.03,5
1,0,1,1,0,1,1.11,-0.53,-0.39,16456.71,-31410.20,18334.55,5
1,0,1,1,0,1,0.95,-0.20,0.15,1949.42,-5060.85,31911.27,5
1,1,1,1,0,1,0.97,-0.04,-0.57,-29267.51,73063.79,7535.20,5
0,1,1,1,0,1,0.95,0.07,-0.81,26246.75,-56485.39,909.09,0
1,1,1,0,0,1,0.94,-0.05,0.12,8737.78,-54986.94,6323.08,4
1,1,1,0,0,0,0.85,0.10,0.35,-5609.65,44082.61,2183.25,4
1,1,1,1,0,1,1.17,-0.20,-0.30,-1751.37,27499.43,12536.40,5
1,1,1,0,0,1,0.86,0.58,-0.43,1892.15,-6000.96,30458.16,4
1,1,1,0,0,1,0.93,0.23,-0.16,4018.14,-4514.44,-47468.44,4
1,1,1,1,0,1,1.01,-0.09,-0.21,-6237.18,4912.91,-55509.48,5
1,0,1,1,0,1,1.01,-0.43,-0.25,-1426.87,-386.54,50546.46,5
1,1,1,1,0,1,1.04,0.02,-0.19,20758.79,-16599.88,35060.88,0

1,1,1,0,0,1,0.66,0.40,0.30,-3786.69,-794.56,12221.44,4
1,1,1,0,0,1,0.68,1.08,-0.21,-13910.78,7590.08,16523.52,0
1,1,1,0,0,1,0.96,0.34,-0.08,28582.71,-32662.88,-34819.89,4
1,1,1,1,0,0,0.87,-0.09,0.40,5120.50,13676.94,-10503.47,5
1,1,1,1,0,1,0.94,-0.32,0.09,-13879.76,45495.16,-16132.21,5
0,0,1,1,0,1,1.07,-0.21,-0.73,-765.93,9384.41,6027.21,5
1,1,1,1,0,1,0.93,-0.10,-0.21,5041.76,-17482.72,9413.04,5
1,0,1,1,0,1,1.17,-0.29,-0.33,1014.08,3311.86,30660.97,5
1,1,1,0,0,1,0.83,0.42,0.01,-1035.55,-73.97,-20164.66,4
1,1,1,1,0,1,1.26,-0.63,-0.42,4681.47,-9639.71,-36306.41,5
1,0,1,1,0,1,1.04,-0.67,-0.17,18976.40,-34583.67,-7089.01,5
1,0,1,1,0,1,0.69,-0.60,0.18,-4710.10,24402.32,-9157.73,5
1,0,1,1,0,1,0.94,-0.54,-0.35,-6287.29,18406.13,29195.93,5
1,1,1,1,0,1,1.00,-0.18,-0.12,5604.87,-4490.58,40503.50,5
1,1,1,0,0,1,0.83,0.37,0.06,29506.12,-20861.39,8668.58,4
1,1,1,0,0,1,0.92,0.16,-0.15,-34688.66,27878.82,34388.01,4
1,1,1,0,0,1,0.76,0.85,-0.12,28198.55,-17644.97,-10622.77,0
1,1,1,0,0,1,1.03,-0.02,0.29,-5151.52,15242.20,-39184.01,4
1,1,1,1,0,1,1.13,0.03,-0.42,-24571.73,30916.28,-7473.17,0
1,1,1,1,0,1,0.77,0.02,0.07,19811.52,-43915.58,-2429.02,0
1,1,1,1,0,1,0.92,-0.03,0.12,11794.33,-58947.81,7833.46,5
1,1,1,1,0,0,0.63,0.08,0.21,-9732.77,78186.68,-7081.85,0
1,1,1,1,0,1,0.82,-0.01,-0.48,-19420.21,72164.24,14034.85,5
0,1,1,1,0,1,0.89,0.06,-0.82,16232.42,-50451.02,5654.98,0
1,1,1,1,0,1,0.97,-0.02,-0.05,-787.40,-22851.37,60828.03,5
1,1,1,0,0,1,0.95,0.72,-0.40,14571.72,6661.90,8332.15,4
1,1,1,0,0,1,0.58,0.71,0.08,15743.28,-14240.05,-38780.76,0
1,1,1,1,0,1,1.13,-0.05,-0.24,-8210.46,12350.29,1274.16,5
1,1,1,0,0,1,0.78,0.61,0.32,21686.97,-29370.11,-16074.94,4
1,1,1,0,0,1,1.04,0.09,-0.13,-6802.68,37940.87,-15719.42,4
1,1,1,1,0,1,0.98,-0.34,-0.18,-36308.80,47363.45,-23240.30,5
1,1,1,1,0,1,1.00,-0.11,-0.37,32889.56,-65900.81,22350.30,5
1,1,1,1,0,1,0.96,-0.20,0.21,-4051.54,-15771.91,76962.63,5
1,1,1,0,0,1,1.14,0.36,-0.02,-13836.81,10398.48,36850.43,4
1,1,1,0,0,1,0.61,0.87,-0.22,10899.56,6890.96,-41073.77,0
1,1,1,0,0,1,0.53,0.96,-0.04,-16063.01,4328.33,-13187.80,0
0,1,1,1,0,1,1.07,0.03,-0.68,-21267.02,31818.22,-37625.91,0
1,1,1,1,0,1,1.09,-0.03,-0.46,23173.49,-69883.16,-4025.30,5
1,1,1,1,0,0,0.82,-0.06,0.71,3407.31,13373.91,-1278.93,5
1,1,1,1,0,1,1.22,-0.12,-0.43,-3968.03,36308.80,-5719.40,5
1,1,1,1,0,1,1.04,-0.11,-0.84,-7220.24,44104.08,-2035.32,5
0,1,1,1,0,1,0.75,0.02,-0.48,6556.92,-48284.47,-2517.30,0
1,1,1,1,0,1,1.10,-0.08,-0.27,7272.74,-57356.30,4254.36,5
1,1,1,1,0,0,0.71,0.01,0.92,4593.18,11274.17,-5010.74,6
1,1,1,1,0,1,1.15,0.00,-0.13,-5466.48,42922.98,-1455.50,0
1,1,1,1,0,1,0.92,0.17,-0.66,-11658.33,22188.05,60384.22,0
0,1,1,0,0,1,0.74,0.36,-0.59,-15712.26,14640.91,-50136.06,4
0,1,1,1,0,1,0.90,-0.22,-0.70,1665.48,-10023.87,-12576.96,5
