tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
1,1,0,1,1,1,-0.93,-0.01,-0.01,-4058.70,8021.96,-22357.46,3
1,1,0,1,1,1,-0.92,-0.03,-0.08,17449.31,-10656.18,24581.27,3
1,1,0,1,1,1,-0.91,-0.07,0.06,-19255.57,23137.70,-30109.79,3
1,1,0,1,1,1,-0.94,0.26,0.04,-16385.13,-35130.08,9799.58,0
1,1,0,1,1,1,-1.16,-0.30,-0.47,16387.52,1293.25,42302.60,3
1,0,0,1,1,1,-0.72,-0.36,0.19,-28534.99,11515.16,-32343.15,2
1,1,0,1,1,1,-0.88,0.13,-0.04,-36332.66,-58243.92,-4488.19,0
1,1,0,1,1,1,-0.94,-0.10,-0.54,16239.58,-1006.92,33906.03,3
1,0,0,1,1,1,-0.80,-0.34,-0.31,8656.65,44509.71,3948.94,2
1,1,0,1,1,1,-0.86,0.06,0.05,-25320.95,17248.88,-43194.99,0
1,1,0,0,1,1,-0.79,0.25,0.23,36580.81,36802.71,25836.34,0
1,1,0,1,1,1,-0.88,0.02,0.01,-46368.46,-49582.49,-22953.97,0
1,1,0,0,1,1,-1.00,0.33,0.12,40837.55,23920.33,27735.65,0
1,1,0,1,1,1,-0.92,-0.32,-0.05,32710.61,-30997.41,38649.53,3
1,0,0,1,1,1,-0.88,-0.16,-0.05,-13939.41,30839.93,-46802.72,2
1,1,0,1,1,1,-0.82,-0.00,0.23,14206.65,17003.12,-8880.95,3
1,1,0,0,1,1,-0.98,0.60,0.13,-25886.45,-34347.45,-3586.26,0
1,1,0,1,1,1,-0.90,0.12,0.09,34194.74,22042.50,42488.71,0
1,0,0,1,1,1,-0.90,-0.44,0.18,12240.53,14366.52,4669.54,2
1,1,0,1,1,0,-0.78,0.10,0.29,-49754.29,-19983.32,-44695.82,0
1,1,0,1,1,1,-1.01,0.05,-0.08,32118.86,-5213.56,41126.27,0
1,0,0,1,1,1,-0.82,-0.47,-0.11,10930.58,35206.43,11235.99,2
1,1,0,1,1,0,-0.67,-0.22,0.38,-30825.61,41639.27,-35175.41,3
1,1,0,1,1,0,-0.79,0.14,0.25,-57229.84,-57826.36,-26344.58,0
1,1,0,0,1,1,-0.94,0.37,-0.03,16566.47,-10465.29,38379.90,0
1,1,0,1,1,1,-0.93,-0.39,-0.27,15717.03,4232.88,38890.52,3
1,1,0,1,1,1,-0.96,0.08,-0.20,-38193.79,-33330.98,-73044.70,0
1,1,0,0,1,1,-0.97,0.23,-0.45,1099.98,3299.93,36447.19,0
1,1,0,1,1,1,-0.86,-0.60,-0.53,22918.18,24201.89,53595.86,3
1,0,0,1,1,1,-0.71,-0.68,-0.08,-5378.20,40343.64,-19141.04,2
1,1,0,1,1,0,-0.86,0.08,0.32,-38828.48,-24597.97,-30066.84,0
1,1,0,0,1,1,-1.05,0.42,-0.21,-17828.70,-16752.58,-5554.77,0
1,1,0,1,1,1,-0.75,0.11,0.15,20073.99,18162.75,-14609.89,0
1,1,0,0,1,1,-0.83,0.49,0.16,-20026.27,-14781.69,1985.21,0
1,1,0,1,1,1,-0.89,0.19,0.19,25657.39,12586.51,43261.80,0
1,1,0,1,1,0,-0.74,-0.01,0.23,-17900.28,2264.38,-31990.01,3
1,1,0,0,1,1,-0.86,0.34,-0.02,-32600.85,-35771.93,19806.75,0
1,1,0,1,1,1,-0.95,-0.11,-0.20,42443.38,11873.07,51276.60,3
1,0,0,1,1,1,-0.90,-0.40,-0.06,-3490.82,17372.96,-31632.10,2
1,1,0,1,1,1,-0.80,0.20,-0.04,-36640.46,-18575.54,-47735.68,0
1,1,0,0,1,1,-0.85,0.44,-0.23,19081.39,11154.87,42421.90,0
1,1,0,1,1,1,-0.99,-0.20,-0.10,20742.09,9732.77,55168.28,3
1,0,0,1,1,1,-0.80,-0.45,0.08,-7499.41,23180.65,-31975.70,2
1,1,0,1,1,1,-0.82,-0.24,0.17,-7881.18,10629.93,-17263.20,3
1,1,0,1,1,0,-0.59,-0.07,0.51,-2605.59,-15471.26,14834.18,3
1,1,0,1,1,1,-0.90,-0.31,-0.45,-30429.53,-75948.55,14108.82,3
1,1,0,1,1,1,-0.90,0.20,-0.27,4867.58,30040.60,-61486.59,0
1,1,0,1,1,1,-0.82,-0.02,0.04,45008.40,-21908.88,39990.50,3
1,0,0,1,1,1,-0.88,-0.45,-0.18,-19098.09,12460.05,1173.95,2
1,1,0,1,1,0,-0.80,-0.05,0.21,-30252.96,10434.28,-44636.18,3
1,1,0,0,1,1,-0.87,0.19,-0.25,-43884.56,-37606.82,-17783.37,0
1,1,0,0,1,1,-0.92,0.30,-0.40,48418.09,15058.48,51364.89,0
1,1,0,1,1,1,-0.98,-0.31,-0.39,26683.40,25948.49,22584.13,3
1,0,0,1,1,1,-0.89,-0.28,0.07,-3944.17,36556.95,-24898.62,2
1,1,0,1,1,0,-0.77,-0.00,0.34,-8938.21,-13101.90,17747.57,3
1,0,0,1,1,1,-0.76,-0.57,-0.19,-5158.68,-40899.59,18866.64,2
1,0,0,1,1,1,-0.90,-0.06,-0.15,-24385.62,12216.67,-53204.54,2
1,1,0,1,1,1,-0.93,0.06,0.02,63459.86,18601.79,25621.60,0
1,1,0,1,1,1,-0.79,-0.48,-0.17,-12794.10,-7310.91,28864.26,3
1,0,0,1,1,1,-0.86,-0.25,-0.15,-51443.62,-33087.61,-49155.39,2
1,1,0,1,1,1,-1.02,0.07,-0.11,29813.92,-7065.15,46616.61,0
0,0,0,1,1,1,-0.88,-0.46,-0.37,19809.14,34779.33,10482.00,2
1,0,0,1,1,1,-0.80,-0.27,0.13,-17771.43,21147.72,-35547.64,2
1,1,0,1,1,0,-0.78,0.17,0.14,-41770.51,-25289.94,-18117.41,0
1,1,0,1,1,1,-1.00,0.18,-0.14,34411.87,29413.06,49630.21,0
1,1,0,1,1,0,-0.79,-0.15,0.37,-6313.54,34092.14,-23543.33,3
1,1,0,1,1,0,-0.56,0.02,0.44,-36471.05,-29995.26,-24452.43,0
1,1,0,0,1,1,-1.05,0.46,-0.03,-617.99,-8554.05,37671.24,0
1,1,0,1,1,1,-0.98,-0.19,0.08,44194.75,11071.36,36953.04,3
1,0,0,1,1,1,-0.66,-0.59,-0.07,-3075.64,1152.47,-19780.50,2
1,1,0,1,1,1,-0.81,-0.09,0.06,10832.75,-43338.15,11400.63,3
1,0,0,1,1,1,-1.02,-0.07,-0.23,-136.01,49184.02,-26265.84,2
1,1,0,1,1,0,-0.66,-0.16,0.38,15805.31,25287.55,6289.68,3
1,1,0,1,1,1,-1.03,0.18,-0.20,-48150.85,-55232.70,-24185.19,0
1,1,0,1,1,1,-0.86,0.07,-0.38,43469.39,8964.46,53400.20,0
1,0,0,1,1,1,-0.87,-0.47,-0.13,-1648.77,35643.08,-7079.46,2
1,1,0,1,1,0,-0.74,-0.09,0.23,-16301.62,3459.80,-16072.55,3
1,1,0,0,1,1,-1.12,0.37,0.07,-6912.44,-9358.16,2803.63,0
1,1,0,1,1,1,-0.82,-0.17,0.20,31100.01,35392.55,20777.88,3
1,1,0,1,1,0,-0.80,0.28,0.20,-28282.06,-36141.77,-46077.36,0
1,1,0,0,1,1,-0.80,0.35,-0.04,13891.69,8298.74,46597.52,0
1,1,0,1,1,1,-0.95,-0.24,0.09,35215.98,18907.20,48301.18,3
1,0,0,1,1,1,-0.99,-0.55,-0.30,-25616.83,-45165.88,-30644.27,2
1,1,0,1,1,1,-0.84,0.13,-0.09,-7680.75,31219.31,-37938.48,0
1,1,0,1,1,1,-0.74,0.15,0.39,23812.96,22285.88,10708.67,0
1,1,0,1,1,1,-1.06,0.07,-0.03,-11073.74,-18501.57,-23614.91,0
1,1,0,0,1,1,-0.75,0.41,0.10,14247.21,3142.45,-4471.49,0
1,1,0,0,1,1,-0.94,0.27,0.10,-1121.45,-3903.61,28274.91,0
1,1,0,0,1,1,-1.10,0.55,-0.17,-2314.49,-3316.63,-10400.87,0
1,1,0,1,1,1,-0.88,0.18,0.23,46418.57,34354.61,26342.19,0
1,1,0,1,1,1,-0.98,0.18,0.29,23550.49,-4294.92,-5802.92,0
1,0,0,1,1,1,-0.89,-0.35,-0.07,-12860.91,-33493.24,18408.51,2
1,1,0,1,1,1,-0.83,0.04,-0.13,-21782.41,10267.25,-51863.57,0
1,1,0,0,1,1,-0.95,0.38,-0.00,2455.26,-10357.92,15363.89,0
1,1,0,1,1,1,-1.00,-0.09,-0.18,3044.62,8449.07,46392.32,3
1,0,0,1,1,0,-0.85,-0.56,-0.03,11457.90,27928.93,591.74,2
1,1,0,1,1,0,-0.82,-0.03,0.28,-9310.44,4769.75,-45227.92,3
