tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.83,0.01,0.84,26103.58,-5676.46,-25409.24,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.12,-0.78,0.9,16964.94,-14223.35,-10300.66,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.41,-0.08,0.67,-62670.07,-15910.3,24638.54,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.1,0.72,0.75,14230.51,5585.79,-26215.73,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.58,0.12,0.75,11937.5,-6115.49,-6189.46,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.41,-0.28,0.88,3261.75,52567.46,38200.95,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.25,0.56,0.67,18537.36,-5177.77,-5459.32,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.41,-0.37,0.94,-42128.42,10396.1,30114.56,6,,
,,,,,,,,,,,,,,
1,1,1,0,1,0,-0.57,0.83,0.58,11801.49,-48783.16,-10966.37,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.37,-0.13,0.76,48682.95,-10682.43,-19424.98,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.45,-0.38,0.79,11080.9,55492.79,41162.06,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.19,0.14,0.76,-22877.62,17876.42,29584.86,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.64,0.1,0.73,-13235.52,-63013.67,-23027.94,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.18,-0.72,1.07,-55645.49,-14896.22,12681.95,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.15,0.47,0.63,77785.82,38365.59,-12667.63,6,,
,,,,,,,,,,,,,,
1,0,1,1,1,0,0.23,-0.88,0.92,6086.86,-17308.54,-51746.66,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.09,-0.43,0.77,8363.17,55752.86,51226.49,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.46,0.04,0.73,-14667.16,-5287.53,12054.42,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.55,-0.06,0.89,-31842.08,-43440.75,10625.16,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.29,0.78,0.73,31221.7,3972.8,-13230.75,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.48,0.07,0.81,-12588.89,2853.74,16272.98,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.57,-0.36,0.81,13691.26,21157.27,9751.86,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.62,0.16,0.83,-12593.67,-7971.85,3204.49,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.19,-0.16,0.94,39871.2,-32822.75,-28718.71,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.56,-0.72,0.76,-76249.19,18909.59,53488.49,6,,
,,,,,,,,,,,,,,
