tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
1,0,1,1,1,1,0.07,-1.00,-0.11,-1980.44,2483.90,-7010.27,0
1,0,1,1,1,1,0.05,-0.96,-0.09,11861.14,3245.05,706.28,0
0,0,1,1,1,1,-0.09,-1.31,-0.44,5368.65,4788.84,7167.75,0
1,0,1,1,1,1,0.18,-0.99,-0.23,-16836.10,-16239.58,2371.75,0
1,0,1,1,1,1,-0.01,-0.78,0.34,-15199.25,15962.79,-13004.07,0
1,0,1,1,1,1,0.26,-1.10,-0.19,-2942.02,-22717.75,30913.90,0
1,0,1,1,0,1,0.32,-0.93,0.10,25786.24,10522.56,-28642.36,0
1,0,0,1,1,1,-0.12,-1.05,-0.31,25519.00,26480.58,9479.85,3
1,0,1,1,1,1,0.49,-0.92,-0.26,-15237.43,-38847.57,10243.39,0
1,0,1,1,0,0,0.14,-0.97,0.21,1818.18,3319.02,-39379.67,6
1,0,0,1,1,1,-0.15,-1.02,-0.35,34607.53,22524.48,28733.03,3
1,0,1,1,1,1,0.44,-0.96,-0.39,-8957.30,-8420.43,-3808.16,0
1,0,0,1,1,1,-0.07,-1.02,-0.24,-31751.41,-37900.30,665.71,3
1,0,1,1,1,1,0.28,-0.91,0.12,10288.73,2021.00,26342.19,0
1,0,1,1,0,1,0.39,-0.95,-0.12,11224.06,14714.88,-7649.73,0
1,0,1,1,1,1,0.26,-1.03,-0.23,1505.61,7038.90,-8537.35,0
1,0,1,1,1,1,-0.08,-1.04,-0.05,20324.53,18876.18,1157.24,0
0,0,1,1,1,1,0.39,-0.94,-0.31,-28053.00,-38019.61,27783.38,0
1,0,1,1,0,0,0.47,-0.86,0.22,10649.02,-2324.03,-16120.28,6
1,0,1,1,1,1,0.29,-1.01,-0.29,28513.51,14683.86,5354.34,0
1,0,1,1,0,1,0.33,-0.94,-0.01,-12483.91,-7010.27,2436.18,0
1,0,1,1,1,1,0.41,-0.96,0.00,1023.62,-5757.58,4633.74,0
1,0,1,1,0,1,0.40,-0.94,0.01,706.28,-2326.42,-157.48,0
1,0,1,1,0,1,0.40,-0.92,0.01,7578.15,-6399.43,2822.72,0
1,0,1,1,0,1,0.46,-0.97,-0.09,7160.59,687.19,5068.01,0
1,0,1,1,0,1,0.41,-0.93,-0.02,1319.50,-4318.78,1250.30,0
1,0,1,1,0,1,0.45,-0.90,0.02,303.03,-3769.99,-3896.45,0
1,0,1,1,0,1,0.49,-0.89,0.05,837.51,2137.92,-4605.11,0
1,0,1,1,0,1,0.38,-0.96,0.08,816.04,1572.42,-2562.64,0
1,0,1,1,0,1,0.41,-0.96,-0.11,7411.13,-4430.93,-3214.03,0
1,0,1,1,0,0,0.03,-0.83,0.16,20009.57,54318.84,9415.42,6
1,0,1,1,1,1,0.46,-1.12,-0.27,-20169.43,-65294.75,-12240.53,0
1,0,1,1,0,0,0.15,-1.02,0.31,41481.79,43636.41,-45614.46,6
1,0,0,1,1,1,-0.17,-0.91,-0.48,44691.05,29093.33,19809.14,3
1,0,1,1,0,1,0.30,-0.95,-0.10,-27256.05,-24061.11,-20851.85,0
1,0,1,1,1,1,-0.38,-1.00,-0.30,41006.96,39389.21,3822.48,0
0,0,1,1,1,1,0.33,-0.94,-0.57,-38305.94,-39811.54,30033.44,0
1,0,1,1,0,1,0.47,-0.89,0.26,-9685.05,-12149.86,3443.10,0
1,0,1,1,1,1,0.33,-0.97,-0.13,1939.87,-17556.69,725.36,0
1,0,1,1,1,0,-0.05,-0.92,0.46,-9501.32,-1851.59,-9410.65,6
1,0,1,1,0,1,0.34,-0.97,0.09,3753.28,14395.15,18721.09,0
1,0,1,1,0,1,0.57,-0.92,0.05,3672.16,11722.75,1531.86,0
1,0,1,1,1,1,0.27,-0.93,-0.09,20031.04,21336.22,3741.35,0
1,0,1,1,0,1,0.42,-0.93,0.08,-19331.92,-44781.72,-18394.20,0
1,0,1,1,1,1,-0.04,-1.05,-0.09,50598.96,59260.39,-17117.65,0
0,0,1,1,1,1,0.18,-1.09,-0.70,377.00,-36645.23,34442.89,0
1,0,1,1,0,1,0.40,-0.89,0.02,-11159.64,-30451.00,1939.87,0
1,0,1,1,0,1,0.19,-0.88,0.13,27633.05,34798.41,-47062.80,0
1,0,0,1,1,1,-0.07,-1.05,-0.19,21398.26,18654.28,17857.33,3
1,0,1,1,1,1,0.49,-0.97,-0.26,-13922.71,-37678.40,25361.52,0
1,0,1,1,0,0,0.46,-0.75,0.39,8568.37,-15998.59,-18045.83,6
1,0,1,1,1,1,0.07,-1.09,-0.03,18632.80,10021.49,12538.79,0
1,0,1,1,0,1,0.41,-0.95,-0.25,17971.86,26814.63,12498.22,0
1,0,1,1,0,1,0.84,-0.71,-0.02,-12467.21,-46609.45,-9016.95,5
1,0,1,1,0,0,0.36,-0.75,0.37,26690.56,25335.27,-27566.24,6
1,0,1,1,1,1,-0.23,-1.12,-0.36,46561.73,64812.77,-41939.92,0
0,0,1,1,1,1,0.11,-1.03,-0.50,-21615.39,-44535.96,-6301.61,0
0,0,0,1,1,1,-0.29,-0.98,-0.05,-22615.15,-52159.45,5802.92,3
1,0,1,1,1,1,0.29,-0.86,0.21,-16301.62,7559.06,28291.61,0
1,0,1,1,0,1,0.42,-0.78,0.25,6203.78,31469.85,11312.35,0
1,0,1,1,0,1,0.61,-0.87,-0.20,24003.84,36330.27,-29355.79,0
1,0,1,1,1,1,-0.02,-0.94,-0.04,-9522.80,-34371.31,-37077.11,0
1,0,0,1,1,1,-0.21,-0.89,0.01,18293.98,24636.15,15697.94,3
1,0,1,1,1,1,0.20,-1.16,-0.57,23483.68,13879.76,7482.71,0
1,0,1,1,1,1,0.16,-0.88,-0.01,-34531.18,-66471.09,23373.92,0
1,0,1,1,1,0,0.16,-1.00,0.16,7222.63,23588.67,13295.17,6
1,0,1,1,0,1,0.80,-0.81,0.04,-2009.07,5182.54,7375.34,0
1,0,1,1,1,1,0.30,-0.88,-0.23,12538.79,34082.59,-46673.87,0
0,0,1,1,1,1,0.21,-1.03,-0.26,-30582.23,-47881.23,18814.15,0
1,0,1,1,0,1,0.19,-0.88,0.24,12868.06,45979.53,-38613.74,0
1,0,1,1,1,1,0.09,-1.04,-0.44,23066.12,-32266.80,31183.52,0
1,0,1,1,0,1,0.38,-1.00,-0.29,29938.00,78186.68,431.88,0
0,0,1,1,1,1,0.23,-0.98,-0.48,-42001.95,-43655.50,-27833.48,0
1,0,1,1,1,1,-0.13,-1.02,-0.09,16375.58,36399.47,-12262.00,0
1,0,1,1,1,1,0.25,-1.02,-0.21,-13820.11,-34104.07,30639.50,0
1,0,1,1,1,1,0.13,-0.96,0.10,3691.25,-18236.72,17096.18,0
1,0,1,1,0,1,0.65,-0.96,0.01,10944.89,29215.02,-20374.63,0
1,0,1,1,1,1,0.10,-1.02,-0.46,20975.92,12915.79,-12741.60,0
1,0,1,1,1,1,-0.16,-0.92,0.07,-24137.46,-41123.88,3655.46,0
1,0,1,1,0,1,0.44,-0.95,0.15,6082.09,11539.02,37442.18,0
1,0,1,1,0,1,0.63,-0.82,-0.03,13536.16,23023.17,-20112.17,0
1,0,1,1,1,1,0.39,-0.91,-0.22,17466.02,-10711.06,30326.92,0
1,0,1,1,0,1,0.66,-0.87,-0.28,-16020.06,-23734.22,-16172.77,0
1,0,1,1,0,1,0.18,-0.94,-0.00,21775.26,53872.64,-33560.05,0
1,0,1,1,1,1,0.05,-0.96,-0.45,14631.37,46342.21,-15227.89,0
1,0,0,1,1,1,-0.08,-0.95,-0.31,-36103.59,-51868.35,6251.50,3
1,0,0,1,1,0,-0.14,-0.99,0.05,5509.43,-29537.14,36991.21,6
1,0,1,1,0,1,0.58,-0.94,0.01,-5211.17,-32209.53,9334.30,0
1,0,1,1,1,0,-0.01,-0.93,-0.18,13810.56,-24149.39,-14395.15,6
1,0,1,1,1,1,-0.20,-1.09,-0.01,2507.76,-16688.16,14137.45,0
1,0,1,1,0,0,0.10,-0.97,0.44,18167.52,62436.24,-8787.89,6
1,0,1,1,1,1,0.06,-0.91,-0.00,-54268.73,-24936.80,-827.97,0
1,0,1,1,1,0,0.13,-0.93,0.23,53696.07,36389.92,2185.64,6
0,1,1,1,1,1,0.31,-1.14,-0.79,-5120.50,-6704.85,3619.67,0
1,0,1,1,1,1,0.16,-0.91,0.07,-41870.72,-7136.73,-1789.55,0
1,0,1,1,0,0,0.16,-0.78,0.44,22030.57,8804.59,-3326.18,6
1,0,1,1,1,1,0.22,-0.98,-0.07,56540.27,16230.03,-2197.57,0
0,0,1,1,1,1,0.32,-0.86,-0.79,7065.15,-12937.26,6845.63,0
0,0,1,1,1,1,0.42,-0.91,-0.47,-67847.84,-23271.32,-5938.92,0
1,0,1,1,0,1,0.42,-0.86,0.10,534.48,2483.90,-13581.50,0
1,0,1,1,1,1,0.49,-0.65,0.15,7740.40,-6420.91,50832.79,0
1,0,1,1,0,1,0.47,-0.81,0.05,1961.35,-18620.88,-68752.16,0
1,0,0,1,1,1,-0.40,-1.11,-0.16,22660.49,-8883.33,260.08,3
1,0,1,1,1,1,0.18,-1.02,0.01,-17747.57,-174.18,48274.93,0
1,0,1,1,0,1,0.49,-0.87,0.10,-6642.81,29534.75,-35910.32,0
1,0,1,1,1,1,0.12,-0.93,-0.25,21672.66,-959.20,-8880.95,0
1,0,1,1,1,1,0.16,-1.04,-0.22,-4793.61,-28561.23,15404.46,0
1,0,1,1,1,1,0.00,-1.03,0.15,-13204.50,-37554.32,-4903.37,0
1,0,1,1,1,1,0.23,-1.06,-0.17,1364.83,40959.24,12505.38,0
1,0,1,1,0,1,0.30,-0.69,0.46,-5227.88,-35719.44,-13891.69,0
1,0,1,1,1,1,-0.11,-0.95,-0.01,31701.30,63645.98,-21813.43,0
1,0,1,1,1,1,0.32,-1.05,-0.54,14118.36,-55394.95,48518.31,0
1,0,1,1,0,1,0.41,-0.70,0.19,4738.73,8947.75,16836.10,0
1,0,1,1,0,1,0.22,-0.98,-0.11,-17389.66,46876.69,-66366.09,0
1,0,1,1,1,0,-0.22,-0.90,-0.08,48709.19,18716.32,-20262.49,6
0,0,1,1,1,1,-0.11,-0.90,-0.67,3147.22,-38456.26,11729.91,0
1,0,1,1,1,1,0.18,-0.98,-0.35,-55986.70,-68814.20,-4810.31,0
1,0,1,1,1,0,-0.11,-0.97,0.22,-12560.26,1469.82,-28933.46,6
1,0,0,1,1,0,-0.21,-0.90,0.04,59739.98,55748.09,-16036.76,6
1,0,0,1,1,1,-0.43,-1.08,-0.19,-11128.62,-312.57,3953.71,3

1,0,1,1,1,1,-0.20,-1.06,-0.03,9878.32,-17392.05,30942.53,0
1,0,1,1,0,1,0.52,-0.83,0.06,-2429.02,-29451.24,26936.32,0
1,0,1,1,0,1,0.36,-0.92,0.06,5645.44,12820.34,-22242.93,0
1,0,1,1,0,1,0.74,-0.63,0.18,4044.39,-1288.48,37979.04,5
1,0,1,1,0,1,0.37,-0.83,0.01,-5657.37,32118.86,-57191.66,0
1,0,1,1,1,1,0.27,-1.05,-0.30,16084.48,11009.32,-14707.72,0
1,0,0,1,1,1,-0.28,-0.93,-0.05,-6950.62,-10720.60,617.99,3
1,0,1,1,1,0,-0.17,-0.97,0.16,6318.31,-21014.10,36332.66,6
1,0,1,1,0,1,0.47,-1.03,-0.08,12901.47,63354.88,-10083.52,0
1,0,1,1,1,1,0.26,-0.98,-0.04,-8620.86,-13848.74,-8172.28,0
1,0,1,1,1,1,0.22,-0.98,0.02,-935.34,-6459.09,-2574.57,0
1,0,1,1,1,1,0.13,-0.99,0.00,524.93,-2266.76,2075.88,0
1,0,1,1,1,1,0.22,-0.99,-0.04,1689.34,-2677.17,2106.90,0
1,0,1,1,1,1,0.24,-1.00,-0.02,2882.37,2514.92,615.61,0
1,0,1,1,1,1,0.20,-0.99,0.11,162.25,-1209.74,-42.95,0
1,0,1,1,1,1,0.19,-1.00,0.02,7375.34,9081.37,2502.99,0
1,0,1,1,1,1,0.58,-0.78,-0.06,-9026.50,-32934.90,44617.09,0
1,0,1,1,1,0,0.09,-1.05,0.08,13963.27,-6027.21,11278.94,6
1,0,1,1,0,1,0.91,-0.79,0.06,-1842.04,-7036.51,-31357.71,5
1,0,1,1,1,1,-0.43,-1.06,-0.10,35872.14,78186.68,-24426.18,0
0,0,1,1,1,1,0.18,-0.94,-0.43,-22001.93,-76943.53,-8876.17,0
1,0,1,1,1,0,-0.09,-0.99,0.13,8057.75,37463.65,-12968.28,6
