tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face
1,1,1,0,1,0,-0.06,0.53,0.57,21264.64,29973.79,15969.95,6
1,1,1,0,1,1,-0.26,1.08,0.05,-6129.81,-22452.90,16826.55,0
1,1,1,0,1,0,-0.43,0.93,0.56,3958.49,16382.74,-20751.63,6
1,1,1,0,1,1,0.09,0.87,-0.20,-44946.36,-34881.93,36129.84,0
1,1,0,0,1,1,-0.51,1.15,-0.08,17845.40,22586.52,-10918.65,3
1,1,1,0,1,0,0.36,0.74,-0.05,-23972.82,-14349.81,-32006.72,6
1,1,1,0,1,1,0.01,1.08,-0.26,17967.09,19267.50,32269.18,0
1,1,0,0,1,1,-0.25,1.03,-0.41,-12374.15,-33657.87,16802.69,3
1,1,0,0,1,1,-0.35,0.82,0.02,44648.11,50102.66,8709.15,3
1,1,1,0,1,0,-0.03,0.78,0.20,-25848.28,-11016.48,-30126.49,6
1,1,1,0,1,1,0.02,1.04,-0.24,-18859.48,-26979.27,8950.14,0
1,1,0,0,1,1,-0.47,0.94,0.01,15700.33,29725.63,26931.55,3
1,1,1,0,1,1,0.18,0.76,-0.08,11987.61,32746.40,-36817.03,0
1,1,1,0,1,0,0.27,0.85,-0.01,-9007.41,-22667.65,23378.69,6
1,1,0,0,1,1,-0.52,0.86,0.07,11388.70,-2930.09,36454.35,3
1,1,0,0,1,1,-0.45,0.86,0.16,-6244.34,4230.50,-27936.08,3
1,1,1,0,1,1,0.04,0.89,-0.30,-24540.71,-45879.32,-4318.78,0
0,1,0,0,1,1,-0.40,1.05,-0.39,18885.73,19444.07,133.62,3
1,1,1,0,1,1,0.17,0.89,-0.20,-2316.87,7034.13,-28997.88,0
0,1,1,0,1,1,0.01,0.96,-0.30,-12366.99,-22715.37,24810.34,0
0,1,0,0,1,1,-0.47,0.95,-0.25,23948.96,39627.82,20501.10,3
1,1,1,0,1,1,-0.16,0.86,0.05,4428.54,25201.65,-32457.68,0
1,1,1,0,1,0,0.47,0.86,-0.13,-32240.55,-46991.22,-6647.59,6
0,1,1,0,1,1,-0.19,0.99,-0.64,-14430.94,4881.90,37425.48,0
1,1,0,0,1,1,-0.61,0.69,0.06,14717.27,63402.60,16218.10,3
1,1,0,0,1,1,-0.30,0.78,0.01,-11264.63,-20088.31,-21610.62,3
1,1,0,0,1,1,-0.82,0.95,-0.16,20147.96,4910.53,16499.66,3
1,1,1,0,1,1,0.25,0.76,-0.11,27022.22,40532.14,-49322.41,0
1,1,1,0,1,1,0.13,0.94,0.02,-44299.74,-64784.13,-3758.06,0
0,1,1,0,1,1,0.09,0.93,-0.53,-15898.37,591.74,34423.80,0
1,1,0,0,1,1,-0.58,0.87,-0.25,21173.97,32646.18,13956.11,3
1,1,1,0,1,1,0.04,0.80,-0.21,-11138.17,-42211.93,-36327.89,0
0,1,0,0,1,1,-0.52,0.96,-0.51,-911.48,9890.25,1309.95,3
1,1,0,0,1,1,-0.17,0.81,-0.23,26103.58,43118.64,16969.71,3
1,1,0,0,1,1,-0.75,0.92,-0.02,-5461.71,-21992.39,-20491.55,3
1,1,0,0,1,1,-0.12,0.90,-0.47,-10274.41,-35681.26,-37053.25,3
0,1,1,0,0,1,0.28,0.94,-0.31,45254.16,42538.82,-6339.78,0
1,1,1,0,1,0,-0.05,0.87,0.15,3715.11,-1011.69,36196.65,6
1,1,1,0,1,1,0.04,0.91,-0.32,-18367.95,-35106.22,-15867.35,0
0,1,1,0,1,1,-0.15,0.99,-0.38,34211.44,56010.56,13552.87,0
1,1,0,0,1,1,-0.50,1.04,-0.07,2166.55,10756.39,1071.34,3
1,1,1,0,1,1,0.36,0.85,-0.05,17702.24,15950.86,-35330.51,0
1,1,1,0,1,1,0.26,0.96,-0.33,-50618.05,-47074.73,7869.25,0
0,1,1,0,0,1,0.12,0.90,-0.71,-12693.88,4500.12,27957.56,0
0,1,0,0,1,1,-0.37,0.87,-0.53,20384.18,53529.05,23984.76,3
1,1,1,0,1,1,-0.23,0.84,-0.07,24414.25,42777.43,-34984.53,0
1,1,1,0,1,0,0.21,0.89,0.16,-22083.06,-53629.27,-15170.62,6
1,1,1,0,1,1,0.24,0.94,-0.40,-36826.57,-41061.84,11326.67,0
0,1,1,0,1,1,0.03,0.73,-0.36,19541.90,41240.80,20336.46,0
0,1,0,0,1,1,-0.44,1.03,-0.61,10627.55,109.76,4958.25,3
1,1,1,0,1,1,0.19,0.84,-0.31,10684.81,-4619.43,-32078.30,0
1,1,1,0,1,1,0.05,1.01,-0.13,24438.11,50894.83,20157.50,0
1,1,0,0,1,0,-0.41,0.95,0.06,-10722.99,-36311.18,3171.08,6
1,1,1,0,1,1,0.13,0.84,-0.23,-31341.00,-28611.34,6907.67,0
1,1,0,0,1,1,-0.69,0.82,-0.30,17630.66,43032.74,12219.05,3
1,1,0,0,1,1,-0.30,0.79,-0.04,-13655.47,-29589.63,-48799.86,3
0,1,0,0,1,1,-0.15,0.95,-0.34,-22469.60,-41367.26,-14955.87,3
0,1,1,0,0,1,0.31,0.94,-0.67,42040.13,41696.54,-13049.41,0
1,1,1,0,1,1,0.26,0.92,-0.18,20978.31,46826.59,6685.76,0
1,1,1,0,1,1,-0.16,1.04,0.00,-12741.60,-44910.57,-14182.79,0
1,1,1,0,1,1,0.50,0.88,-0.20,-24034.86,-46704.89,-17778.59,0
1,1,1,0,1,1,0.36,0.93,-0.16,39782.91,49460.80,4982.11,0
1,1,1,0,1,0,0.33,0.78,0.21,44101.70,36998.37,29639.74,6
1,1,1,0,1,0,-0.02,0.96,0.03,-25607.28,-51014.13,31267.04,6
1,1,1,0,1,1,-0.09,0.99,-0.36,-24170.87,-41164.45,-24144.62,0
0,1,1,0,0,1,0.33,0.90,-0.59,-15106.20,-4044.39,12362.22,0
